year,obs,model_min,model_median,model_max
1951,48.7,,,
1952,49.03,,,
1953,50.2,,,
1954,48.05,,,
1955,48.18,,,
1956,46.96,,,
1957,48.8,,,
1958,46.42,,,
1959,48.53,,,
1960,47.22,,,
1961,47.4,,,
1962,45.88,,,
1963,46.58,,,
1964,47.01,,,
1965,46.57,,,
1966,47.14,,,
1967,46.33,,,
1968,46.74,,,
1969,47.43,,,
1970,46.8,46.37,47.19,47.63
1971,47.1,46.4,47.05,47.62
1972,46.02,46.19,47.2,47.64
1973,49.11,46.84,47.24,47.86
1974,47.22,46.27,47.24,47.79
1975,48.14,46.29,47.23,47.75
1976,46.58,46.58,47.29,48.01
1977,47.22,46.31,47.38,47.91
1978,45.88,46.83,47.43,48.15
1979,47.94,46.45,47.66,48.36
1980,46.46,46.84,47.91,48.27
1981,47.12,46.83,47.77,48.39
1982,46.63,47.22,47.73,48.32
1983,48.25,47.14,47.81,48.39
1984,47.71,47.12,47.97,48.59
1985,47.26,46.87,47.7,48.76
1986,47.19,47.31,47.94,48.65
1987,47.35,47.45,48.12,48.41
1988,47.15,47.47,48.06,48.81
1989,46.67,47.04,48,48.69
1990,49.69,46.95,48.13,48.67
1991,49.51,46.84,48.07,48.61
1992,46.22,46.95,48.09,48.5
1993,47.16,47.23,48.1,48.98
1994,47.36,47.13,48.1,48.69
1995,47.58,47.35,48.31,48.83
1996,47.14,47.66,48.36,48.97
1997,47.22,47.63,48.4,49.19
1998,50.34,47.66,48.47,49.1
1999,49.81,47.57,48.61,49.2
2000,47.43,47.53,48.66,49.34
2001,49.08,48.11,48.83,49.45
2002,49.18,48.25,48.78,49.39
2003,46.86,48.2,48.79,49.66
2004,47.29,48.01,48.73,49.66
2005,48.13,47.94,48.78,49.78
2006,,47.19,48.91,49.63
2007,,47.26,48.88,49.77
2008,,47.16,49.03,50.08
2009,,47.12,49.31,50.14
2010,,47.51,49.15,50.09
2011,,47.78,49.24,50.24
2012,,47.62,49.38,50.32
2013,,47.61,49.31,50.46
2014,,48.13,49.4,50.77
2015,,48.12,49.64,51.14
2016,,48.2,49.56,51.37
2017,,48.29,49.63,51.35
2018,,48.27,49.76,51.37
2019,,48.35,50.02,51.28
2020,,48.25,50.02,51.22
2021,,48.14,50.02,51.31
2022,,48.15,50.18,51.26
2023,,48.19,50.17,51.54
2024,,48.43,50.27,51.65
2025,,48.7,50.11,51.82
2026,,48.7,50.31,51.62
2027,,48.38,50.45,51.98
2028,,48.8,50.65,51.97
2029,,48.83,50.61,51.99
2030,,48.81,50.85,51.69
2031,,48.83,50.92,52.17
2032,,48.65,50.99,52.08
2033,,48.99,51.09,52.18
2034,,49.48,51.24,52.43
2035,,49.69,51.3,53.26
2036,,49.4,51.54,53.41
2037,,49.59,51.45,53.78
2038,,49.6,51.45,54.11
2039,,49.57,51.47,53.6
2040,,49.25,51.54,53.08
2041,,49.52,51.7,53.13
2042,,49.54,51.79,52.98
2043,,49.45,51.79,53.21
2044,,49.45,52.03,53.32
2045,,49.49,52.05,53.43
2046,,49.19,51.96,53.81
2047,,48.98,52.02,53.84
2048,,49.17,52.23,53.82
2049,,49.5,52.24,53.99
2050,,49.65,51.91,53.96
2051,,49.4,52.11,54.22
2052,,49.29,52.4,54.5
2053,,49.38,52.47,54.98
2054,,49.01,52.32,55.18
2055,,48.77,52.59,55.76
2056,,48.9,52.58,56.18
2057,,48.9,52.65,56.35
2058,,49.71,52.7,56.71
2059,,49.77,52.99,56.89
2060,,49.89,53.1,57.11
2061,,49.57,53.06,57.28
2062,,49.95,53.04,56.91
2063,,49.57,53,57.31
2064,,49.42,53.19,57.38
2065,,49.25,53.22,57.82
2066,,48.71,53.34,58.49
2067,,48.89,53.52,58.79
2068,,49.1,53.63,58.48
2069,,49.38,53.75,58.63
2070,,49.88,53.58,58.4
2071,,50.41,53.7,58.4
2072,,50.67,53.65,58.72
2073,,50.37,53.78,58.97
2074,,50.83,53.81,59.07
2075,,50.71,53.8,59.06
2076,,50.68,53.8,59.3
2077,,50.46,53.87,59.44
2078,,50.37,53.87,59.89
2079,,50.37,53.65,59.95
2080,,50.16,53.92,60.3
2081,,50.37,54.12,60.18
2082,,50.54,54.04,60.21
2083,,50.74,54.04,60.52
2084,,50.1,54.16,60.55
2085,,50.25,54.14,60.55
2086,,49.63,54.27,60.23
2087,,49.83,53.99,60.28
2088,,49.67,54.24,60.48
2089,,49.92,54.55,60.72
2090,,50.19,54.72,61.02
2091,,50.19,54.93,61.22
2092,,50.26,55.34,61.83
2093,,50.28,55.21,61.88
2094,,50.51,55.29,61.89
2095,,50.44,55.18,61.99
2096,,50.54,55.16,62.15
2097,,50.63,55.4,61.89
